2013-11-18 03:05:43.962063	Start search_comment process!
2013-11-18 03:05:43.963608	Searching for new comments
2013-11-18 03:05:43.992693	Current app_index:1, app_id: com.doraemon.doraemonRepairShop. Searching comments
2013-11-18 03:05:45.507909	1	is new, preparing to insert. No of comments:	20
2013-11-18 03:05:45.609221	Insert successfully! 20 comments
2013-11-18 03:05:45.613685	Current app_index:2, app_id: com.gau.go.touchhelperex.theme.captainbot. Searching comments
2013-11-18 03:05:57.242014	2	is new, preparing to insert. No of comments:	14
2013-11-18 03:05:57.334550	Insert successfully! 14 comments
2013-11-18 03:05:57.338004	Current app_index:3, app_id: com.ytdsearch.player. Searching comments
2013-11-18 03:06:09.064910	3	is new, preparing to insert. No of comments:	83
2013-11-18 03:06:09.260992	Insert successfully! 83 comments
2013-11-18 03:06:09.264112	Current app_index:4, app_id: com.libiitech.libiihospital. Searching comments
2013-11-18 03:06:21.395781	4	is new, preparing to insert. No of comments:	192
2013-11-18 03:06:21.964392	Insert successfully! 192 comments
2013-11-18 03:06:21.967638	Current app_index:5, app_id: com.ubisoft.rayman.fiestarun. Searching comments
2013-11-18 03:06:35.347277	5	is new, preparing to insert. No of comments:	203
2013-11-18 03:06:36.147738	Insert successfully! 203 comments
2013-11-18 03:06:36.150081	Finish inserting comments
*************Summarize!**********************
No of apps in total:	5
No of searched comments in total:	512
No of N_comment_inserted_total:	512
No of N_comment_updated_total:	0
No of new comments of new apps	512
No of new comments of old apps	0
Start process at:	2013-11-18 03:05:43.963562
End process at:	2013-11-18 03:06:36.153359
Total time:	0:00:52.190125
*************END*****************************
2013-11-19 01:08:59.754521	Start search_comment process!
2013-11-19 01:08:59.755555	Searching for new comments
2013-11-19 01:08:59.784780	Current app_index:1, app_id: com.doraemon.doraemonRepairShop. Searching comments
2013-11-19 01:09:12.733123	1	is old, preparing to insert. No of comments:	39
2013-11-19 01:09:12.750153	Comment is new, inserted!
2013-11-19 01:09:12.763790	Comment is new, inserted!
2013-11-19 01:09:12.775030	Comment is new, inserted!
2013-11-19 01:09:12.786828	Comment is new, inserted!
2013-11-19 01:09:12.799912	Comment is new, inserted!
2013-11-19 01:09:12.811691	Comment is new, inserted!
2013-11-19 01:09:12.823540	Comment is new, inserted!
2013-11-19 01:09:12.836033	Comment is new, inserted!
2013-11-19 01:09:12.848843	Comment is new, inserted!
2013-11-19 01:09:12.861320	Comment is new, inserted!
2013-11-19 01:09:12.874267	Comment is new, inserted!
2013-11-19 01:09:12.886796	Comment is new, inserted!
