server_side.search_app: 	2013-12-14 03:12:08.177764	Time to search apps for this keyword:	0:00:10.084822
server_side.search_app: 	2013-12-14 03:12:08.179021	Key word:women searched 250 apps
server_side.search_app: 	2013-12-14 03:12:08.181457	Inserting searched apps to id table
server_side.search_app: 	2013-12-14 03:14:52.828678	Inserted 230 app with keyword = women 
server_side.search_app: 	2013-12-14 03:14:52.829134	Time to insert 230 apps into id table:	0:02:44.647309
--------------------------------------------------------
server_side.search_app: 	2013-12-14 03:14:52.829678	Current KeyWord:men
server_side.search_app: 	2013-12-14 03:15:02.392262	Time to search apps for this keyword:	0:00:09.562244
server_side.search_app: 	2013-12-14 03:15:02.393500	Key word:men searched 250 apps
server_side.search_app: 	2013-12-14 03:15:02.394258	Inserting searched apps to id table
